critic,crit_org,crit_cn,movie,m_year,director,dir_dob,dir_pob,cob
Rebecca Laurence,BBC Culture,UK,The Consequences of Love,2004,Paolo Sorrentino,1970-05-31,"Naples, Campania, Italy",Italy
Rebecca Laurence,BBC Culture,UK,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Rebecca Laurence,BBC Culture,UK,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Rebecca Laurence,BBC Culture,UK,Ratatouille,2007,Brad Bird and Jan Pinkava,,,
Rebecca Laurence,BBC Culture,UK,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Richard Lawson,Vanity Fair,US,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Richard Lawson,Vanity Fair,US,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Richard Lawson,Vanity Fair,US,Before Sunset,2004,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Richard Lawson,Vanity Fair,US,Summer Hours,2008,Olivier Assayas,1955-01-25,"Paris, France",France
Richard Lawson,Vanity Fair,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Richard Lawson,Vanity Fair,US,Wet Hot American Summer,2001,David Wain,1969-08-01,"Shaker Heights, Ohio, U.S.",U.S.
Richard Lawson,Vanity Fair,US,Cast Away,2000,Robert Zemeckis,1952-05-14,"Chicago, Illinois, U.S.",U.S.
Richard Lawson,Vanity Fair,US,Caché,2005,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Richard Lawson,Vanity Fair,US,Traffic,2000,Steven Soderbergh,1963-01-14,"Atlanta, Georgia, US",US
Richard Lawson,Vanity Fair,US,Weekend,2011,Andrew Haigh,1973-03-07,,
Maggie Lee,Variety,Hong Kong,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Maggie Lee,Variety,Hong Kong,Café Lumière,2003,Hou Hsiao-hsien,1947-04-08,"Meihsien County, Kwangtung, Republic of China",Republic of China
Maggie Lee,Variety,Hong Kong,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Maggie Lee,Variety,Hong Kong,The White Ribbon,2009,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Maggie Lee,Variety,Hong Kong,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Maggie Lee,Variety,Hong Kong,Millennium Actress,2001,Satoshi Kon,1963-10-12,"Sapporo, Hokkaido, Japan",Japan
Maggie Lee,Variety,Hong Kong,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Maggie Lee,Variety,Hong Kong,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Maggie Lee,Variety,Hong Kong,35 Shots of Rum,2008,Claire Denis,1946-04-21,"Paris, France",France
Maggie Lee,Variety,Hong Kong,Toni Erdmann,2016,Maren Ade,1976-12-12,"Karlsruhe, West Germany",West Germany
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Brooklyn,2015,John Crowley,,,
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Mad Max: Fury Road,2015,George Miller,,,
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico",Mexico
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Hotel Rwanda,2004,Terry George,1952-12-20,"Belfast, Northern Ireland",Northern Ireland
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Silver Linings Playbook,2012,David O. Russell,1958-08-20,,
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Birdman,2014,Alejandro González Iñárritu,1963-08-15,"Mexico City, Mexico",Mexico
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Inception,2010,Christopher Nolan,1970-07-30,"London, England",England
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,The Curious Case of Benjamin Button,2008,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Guy Lodge,Variety/The Observer,UK,Moulin Rouge!,2001,Baz Luhrmann,1962-09-17,,
Guy Lodge,Variety/The Observer,UK,White Material,2009,Claire Denis,1946-04-21,"Paris, France",France
Guy Lodge,Variety/The Observer,UK,Birth,2004,Jonathan Glazer,1965-03-26,"London, England",England
Guy Lodge,Variety/The Observer,UK,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Guy Lodge,Variety/The Observer,UK,Talk to Her,2002,Pedro Almodóvar,1949-09-25,"Calzada de Calatrava, Spain",Spain
Guy Lodge,Variety/The Observer,UK,Wendy and Lucy,2008,Kelly Reichardt,1964-03-03,"Miami, Florida, U.S.",U.S.
Guy Lodge,Variety/The Observer,UK,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Guy Lodge,Variety/The Observer,UK,Gravity,2013,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Guy Lodge,Variety/The Observer,UK,Tabu,2012,Miguel Gomes,,,
Guy Lodge,Variety/The Observer,UK,Weekend,2011,Andrew Haigh,1973-03-07,,
Mario Naito López,Cuban Film Press Association,Cuba,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Mario Naito López,Cuban Film Press Association,Cuba,"Spring, Summer, Fall, Winter…and Spring",2003,Kim Ki-duk,1960-12-20,"Ponghwa, South Korea",South Korea
Mario Naito López,Cuban Film Press Association,Cuba,A History of Violence,2005,David Cronenberg,1943-03-15,"Toronto, Ontario, Canada",Canada
Mario Naito López,Cuban Film Press Association,Cuba,Talk to Her,2002,Pedro Almodóvar,1949-09-25,"Calzada de Calatrava, Spain",Spain
Mario Naito López,Cuban Film Press Association,Cuba,Carol,2015,Todd Haynes,1961-01-02,"Los Angeles, California, U.S.",U.S.
Mario Naito López,Cuban Film Press Association,Cuba,Melancholia,2011,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Mario Naito López,Cuban Film Press Association,Cuba,The White Ribbon,2009,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Mario Naito López,Cuban Film Press Association,Cuba,The Return,2003,Andrey Zvyagintsev,1964-02-06,"Novosibirsk, RSFSR, Soviet Union",Soviet Union
Mario Naito López,Cuban Film Press Association,Cuba,The Child,2005,Jean-Pierre and Luc Dardenne,1951-04-21,"Liège, Belgium",Belgium
Mario Naito López,Cuban Film Press Association,Cuba,Silent Light,2007,Carlos Reygadas,1971-10-10,"Mexico City, Mexico",Mexico
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,Tropical Malady,2004,Apichatpong Weerasethakul,,,
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,The Assassin,2015,Hou Hsiao-hsien,1947-04-08,"Meihsien County, Kwangtung, Republic of China",Republic of China
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,Shame,2011,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S.",U.S.
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,The Hurt Locker,2008,Kathryn Bigelow,1951-11-27,"San Carlos, California, U.S.",U.S.
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,Toni Erdmann,2016,Maren Ade,1976-12-12,"Karlsruhe, West Germany",West Germany
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,Winter's Bone,2010,Debra Granik,1963-02-06,"Cambridge, Massachusetts, U.S.",U.S.
Verena Lueken,Frankfurter Allgemeine Zeitung,Germany,A Prophet,2009,Jacques Audiard,1952-04-30,"Paris, France",France
Fiona Macdonald,BBC Culture,UK,Moon,2009,Duncan Jones,1971-05-30,"Bromley, London, England",England
Fiona Macdonald,BBC Culture,UK,The Great Beauty,2013,Paolo Sorrentino,1970-05-31,"Naples, Campania, Italy",Italy
Fiona Macdonald,BBC Culture,UK,The Lives of Others,2006,Florian Henckel von Donnersmarck,1973-05-02,"Cologne, West Germany",West Germany
Fiona Macdonald,BBC Culture,UK,In the Mood for Love,2000,Wong Kar-wai,1958-07-17,"Shanghai, China",China
Fiona Macdonald,BBC Culture,UK,The Taste of Others,2000,Agnès Jaoui,1964-10-19,,
Fiona Macdonald,BBC Culture,UK,Wild Tales,2014,Damián Szifrón,1975-07-09,"Ramos Mejía, Argentina",Argentina
Fiona Macdonald,BBC Culture,UK,Bridesmaids,2011,Paul Feig,1962-09-17,"Royal Oak, Michigan, U.S.",U.S.
Fiona Macdonald,BBC Culture,UK,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Fiona Macdonald,BBC Culture,UK,"O Brother, Where Art Thou?",2000,Joel and Ethan Coen,1954-11-29,,
Fiona Macdonald,BBC Culture,UK,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Laya Maheshwari,Freelance film critic,India,Once Upon a Time in Anatolia,2011,Nuri Bilge Ceylan,1959-01-26,"Istanbul, Turkey",Turkey
Laya Maheshwari,Freelance film critic,India,The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,1967-10-07,"Wellington, New Zealand",New Zealand
Laya Maheshwari,Freelance film critic,India,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Laya Maheshwari,Freelance film critic,India,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Laya Maheshwari,Freelance film critic,India,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,1961-10-31,"Wellington, New Zealand",New Zealand
Laya Maheshwari,Freelance film critic,India,The Tree of Life,2011,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Laya Maheshwari,Freelance film critic,India,Holy Motors,2012,Leos Carax,1960-11-22,,
Laya Maheshwari,Freelance film critic,India,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Laya Maheshwari,Freelance film critic,India,No,2012,Pablo Larraín,1976-08-19,"Santiago, Chile",Chile
Laya Maheshwari,Freelance film critic,India,Pan's Labyrinth,2006,Guillermo Del Toro,1964-10-09,"Guadalajara, Jalisco, Mexico",Mexico
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Moolaadé,2004,Ousmane Sembène,1923-01-01,"Ziguinchor, Casamance, French West Africa",French West Africa
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Days of Glory,2006,Rachid Bouchareb,1953-09-01,"Paris, France",France
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Making Of,2006,Nouri Bouzid,,"Sfax, Tunisia",Tunisia
Hans-Christian Mahnke,AfricAvenir.org,Namibia,House of Flying Daggers,2004,Zhang Yimou,1951-11-14,,
Hans-Christian Mahnke,AfricAvenir.org,Namibia,City of God,2002,Fernando Meirelles and Kátia Lund,,,
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Miners Shot Down,2014,Rehad Desai,,,
Hans-Christian Mahnke,AfricAvenir.org,Namibia,678,2010,Mohamed Diab,,,
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Hijack Stories,2000,Oliver Schmitz,,"Cape Town, South Africa",South Africa
Hans-Christian Mahnke,AfricAvenir.org,Namibia,Waltz with Bashir,2008,Ari Folman,1962-12-17,"Haifa, Israel",Israel
Ben Mankiewicz,Turner Classic Movies,US,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Ben Mankiewicz,Turner Classic Movies,US,Spotlight,2015,Tom McCarthy,,,
Ben Mankiewicz,Turner Classic Movies,US,United 93,2006,Paul Greengrass,1955-08-13,"Cheam, Surrey, England",England
Ben Mankiewicz,Turner Classic Movies,US,The Gatekeepers,2012,Dror Moreh,1961-11-04,,
Ben Mankiewicz,Turner Classic Movies,US,Sexy Beast,2000,Jonathan Glazer,1965-03-26,"London, England",England
Ben Mankiewicz,Turner Classic Movies,US,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Ben Mankiewicz,Turner Classic Movies,US,Memento,2000,Christopher Nolan,1970-07-30,"London, England",England
Ben Mankiewicz,Turner Classic Movies,US,Letters From Iwo Jima,2006,Clint Eastwood,,,
Ben Mankiewicz,Turner Classic Movies,US,Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,1968-04-17,"Denver, Colorado, U.S.",U.S.
Ben Mankiewicz,Turner Classic Movies,US,The Wrestler,2008,Darren Aronofsky,1969-02-12,"New York City, U.S.",U.S.
Calum Marsh,Freelance film critic,Canada,Los Angeles Plays Itself,2003,Thom Andersen,,,
Calum Marsh,Freelance film critic,Canada,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Calum Marsh,Freelance film critic,Canada,Goodbye to Language,2014,Jean-Luc Godard,1930-12-03,"Paris, France",France
Calum Marsh,Freelance film critic,Canada,Millennium Mambo,2001,Hou Hsiao-hsien,1947-04-08,"Meihsien County, Kwangtung, Republic of China",Republic of China
Calum Marsh,Freelance film critic,Canada,Margaret,2011,Kenneth Lonergan,1962-10-16,"The Bronx, New York, U.S.",U.S.
Calum Marsh,Freelance film critic,Canada,Crank,2006,Mark Neveldine and Brian Taylor,1973-05-11,"Watertown, New York, United StatesBrian TaylorUnited States",United StatesBrian TaylorUnited States
Calum Marsh,Freelance film critic,Canada,The Forest for the Trees,2003,Maren Ade,1976-12-12,"Karlsruhe, West Germany",West Germany
Calum Marsh,Freelance film critic,Canada,Miami Vice,2006,Michael Mann,1943-02-05,"Chicago, Illinois, U.S.",U.S.
Calum Marsh,Freelance film critic,Canada,Woman on the Beach,2006,Hong Sang-soo,1960-10-25,"Seoul, South Korea",South Korea
Calum Marsh,Freelance film critic,Canada,The Son,2002,Jean-Pierre and Luc Dardenne,1951-04-21,"Liège, Belgium",Belgium
Lee Marshall,Screen International,Italy,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Lee Marshall,Screen International,Italy,The White Ribbon,2009,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Lee Marshall,Screen International,Italy,Fish Tank,2009,Andrea Arnold,1961-04-05,,
Lee Marshall,Screen International,Italy,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Lee Marshall,Screen International,Italy,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Lee Marshall,Screen International,Italy,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Lee Marshall,Screen International,Italy,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Lee Marshall,Screen International,Italy,Silent Souls,2010,Aleksey Fedorchenko,1966-09-29,"Yekaterinburg, Russian SFSR",Russian SFSR
Lee Marshall,Screen International,Italy,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Lee Marshall,Screen International,Italy,Nostalgia for the Light,2010,Patricio Guzmán,1941-08-11,"Santiago, Chile",Chile
Adrian Martin,Lola Magazine,Australia,Holy Motors,2012,Leos Carax,1960-11-22,,
Adrian Martin,Lola Magazine,Australia,Lifeline,2002,Víctor Erice,1940-06-30,"Karrantza, Biscay, Spain",Spain
Adrian Martin,Lola Magazine,Australia,Certified Copy,2010,Abbas Kiarostami,1940-06-22,"Tehran, Imperial State of Iran",Imperial State of Iran
Adrian Martin,Lola Magazine,Australia,Kung Fu Hustle,2004,Stephen Chow,,,
Adrian Martin,Lola Magazine,Australia,Instructions for a Light and Sound Machine,2005,Peter Tscherkassky,,,
Adrian Martin,Lola Magazine,Australia,Un lac,2008,Philippe Grandrieux,,,
Adrian Martin,Lola Magazine,Australia,Detention,2011,Joseph Kahn,,,
Adrian Martin,Lola Magazine,Australia,A Vingança de Uma Mulher,2012,Rita Azevedo Gomes,,,
Adrian Martin,Lola Magazine,Australia,Mia Madre,2015,Nanni Moretti,1953-08-19,"Bruneck, South Tyrol, Italy",Italy
Adrian Martin,Lola Magazine,Australia,Femme Fatale,2002,Brian De Palma,1940-09-11,"Newark, New Jersey, U.S.",U.S.
Antonio Martínez,El Mercurio,Chile,The Wolf of Wall Street,2013,Martin Scorsese,1942-11-17,"New York City, U.S.",U.S.
Antonio Martínez,El Mercurio,Chile,No Country For Old Men,2007,Joel and Ethan Coen,1954-11-29,,
Antonio Martínez,El Mercurio,Chile,Spirited Away,2001,Hayao Miyazaki,1941-01-05,"Tokyo City, Empire of Japan",Empire of Japan
Antonio Martínez,El Mercurio,Chile,Million Dollar Baby,2004,Clint Eastwood,,,
Antonio Martínez,El Mercurio,Chile,The Ghost Writer,2010,Roman Polanski,1933-08-18,"Paris, French Third Republic",French Third Republic
Antonio Martínez,El Mercurio,Chile,The Son's Room,2001,Nanni Moretti,1953-08-19,"Bruneck, South Tyrol, Italy",Italy
Antonio Martínez,El Mercurio,Chile,A History of Violence,2005,David Cronenberg,1943-03-15,"Toronto, Ontario, Canada",Canada
Antonio Martínez,El Mercurio,Chile,Talk to Her,2002,Pedro Almodóvar,1949-09-25,"Calzada de Calatrava, Spain",Spain
Antonio Martínez,El Mercurio,Chile,Before the Devil Knows You're Dead,2007,Sidney Lumet,1924-06-25,"Philadelphia, Pennsylvania, U.S.",U.S.
Antonio Martínez,El Mercurio,Chile,Match Point,2005,Woody Allen,1935-11-30,,
Todd McCarthy,The Hollywood Reporter,US,Carlos,2010,Olivier Assayas,1955-01-25,"Paris, France",France
Todd McCarthy,The Hollywood Reporter,US,Zodiac,2007,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Todd McCarthy,The Hollywood Reporter,US,Leviathan,2014,Andrey Zvyagintsev,1964-02-06,"Novosibirsk, RSFSR, Soviet Union",Soviet Union
Todd McCarthy,The Hollywood Reporter,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Todd McCarthy,The Hollywood Reporter,US,The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,1967-10-07,"Wellington, New Zealand",New Zealand
Todd McCarthy,The Hollywood Reporter,US,The Incredibles,2004,Brad Bird,1957-09-24,"Kalispell, Montana, U.S.",U.S.
Todd McCarthy,The Hollywood Reporter,US,Children of Men,2006,Alfonso Cuarón,1961-11-28,"Mexico City, Mexico",Mexico
Todd McCarthy,The Hollywood Reporter,US,Fantastic Mr Fox,2009,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Todd McCarthy,The Hollywood Reporter,US,Grizzly Man,2005,Werner Herzog,1942-09-05,,
Todd McCarthy,The Hollywood Reporter,US,Brokeback Mountain,2005,Ang Lee,1954-10-23,"Chaozhou, Pingtung, Taiwan",Taiwan
Joe McElhaney,Hunter College,US,You Ain’t Seen Nothin’ Yet,2012,Alain Resnais,1922-06-03,"Vannes, France",France
Joe McElhaney,Hunter College,US,No Home Movie,2015,Chantal Akerman,1950-06-06,"Brussels, Belgium",Belgium
Joe McElhaney,Hunter College,US,The Romance of Astrea and Celadon,2009,Éric Rohmer,1920-03-21,"Tulle, France",France
Joe McElhaney,Hunter College,US,The Strange Case of Angelica,2010,Manoel de Oliveira,1908-12-11,"Porto, Kingdom of Portugal",Kingdom of Portugal
Joe McElhaney,Hunter College,US,Michelangelo Eye to Eye,2004,Michelangelo Antonioni,1912-09-29,"Ferrara, Kingdom of Italy",Kingdom of Italy
Joe McElhaney,Hunter College,US,Warming by the Devil's Fire,2003,Charles Burnett,,,
Joe McElhaney,Hunter College,US,The New World,2005,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Joe McElhaney,Hunter College,US,Café Lumière,2003,Hou Hsiao-hsien,1947-04-08,"Meihsien County, Kwangtung, Republic of China",Republic of China
Joe McElhaney,Hunter College,US,You Will Meet a Tall Dark Stranger,2010,Woody Allen,1935-11-30,,
Joe McElhaney,Hunter College,US,The Hateful Eight,2015,Quentin Tarantino,1963-03-27,,
Drew McWeeny,HitFix,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Drew McWeeny,HitFix,US,"Crouching Tiger, Hidden Dragon",2000,Ang Lee,1954-10-23,"Chaozhou, Pingtung, Taiwan",Taiwan
Drew McWeeny,HitFix,US,Holy Motors,2012,Leos Carax,1960-11-22,,
Drew McWeeny,HitFix,US,City of God,2002,Fernando Meirelles and Kátia Lund,,,
Drew McWeeny,HitFix,US,Enter the Void,2009,Gaspar Noé,1963-12-27,"Buenos Aires, Argentina",Argentina
Drew McWeeny,HitFix,US,Hedwig and the Angry Inch,2001,John Cameron Mitchell,1963-04-21,"El Paso, Texas, U.S.",U.S.
Drew McWeeny,HitFix,US,Melancholia,2011,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Drew McWeeny,HitFix,US,Mad Max: Fury Road,2015,George Miller,,,
Drew McWeeny,HitFix,US,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,1961-10-31,"Wellington, New Zealand",New Zealand
Drew McWeeny,HitFix,US,Grizzly Man,2005,Werner Herzog,1942-09-05,,
Kim Morgan,Sight & Sound/Criterion,US,Inherent Vice,2014,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Kim Morgan,Sight & Sound/Criterion,US,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Kim Morgan,Sight & Sound/Criterion,US,Melancholia,2011,Lars von Trier,1956-04-30,"Kongens Lyngby, Denmark",Denmark
Kim Morgan,Sight & Sound/Criterion,US,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Kim Morgan,Sight & Sound/Criterion,US,Under the Skin,2013,Jonathan Glazer,1965-03-26,"London, England",England
Kim Morgan,Sight & Sound/Criterion,US,Fat Girl,2001,Catherine Breillat,1948-07-13,,
Kim Morgan,Sight & Sound/Criterion,US,A Serious Man,2009,Joel and Ethan Coen,1954-11-29,,
Kim Morgan,Sight & Sound/Criterion,US,Battle Royale,2000,Kinji Fukasaku,1930-07-03,"Mito, Ibaraki, Japan",Japan
Kim Morgan,Sight & Sound/Criterion,US,The Turin Horse,2011,Béla Tarr and Ágnes Hranitzky,,,
Kim Morgan,Sight & Sound/Criterion,US,Bad Lieutenant: Port of Call New Orleans,2009,Werner Herzog,1942-09-05,,
Kate Muir,The Times,UK,Mulholland Drive,2001,David Lynch,1946-01-20,"Missoula, Montana, U.S.",U.S.
Kate Muir,The Times,UK,The Tree of Life,2011,Terrence Malick,1943-11-30,"Ottawa, Illinois, U.S.",U.S.
Kate Muir,The Times,UK,Night Will Fall,2014,André Singer,,,
Kate Muir,The Times,UK,12 Years a Slave,2013,Steve McQueen,1930-03-24,"Beech Grove, Indiana, U.S.",U.S.
Kate Muir,The Times,UK,We Need to Talk About Kevin,2011,Lynne Ramsay,1969-12-05,"Glasgow, Scotland",Scotland
Kate Muir,The Times,UK,Boyhood,2014,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Kate Muir,The Times,UK,Amour,2012,Michael Haneke,1942-03-23,"Munich, Germany",Germany
Kate Muir,The Times,UK,The Lives of Others,2006,Florian Henckel von Donnersmarck,1973-05-02,"Cologne, West Germany",West Germany
Kate Muir,The Times,UK,Nostalgia for the Light,2010,Patricio Guzmán,1941-08-11,"Santiago, Chile",Chile
Kate Muir,The Times,UK,Red Road,2006,Andrea Arnold,1961-04-05,,
Chris Nashawaty,Entertainment Weekly,US,Before Midnight,2013,Richard Linklater,1960-07-30,"Houston, Texas, U.S.",U.S.
Chris Nashawaty,Entertainment Weekly,US,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,1963-05-08,"Versailles, France",France
Chris Nashawaty,Entertainment Weekly,US,Munich,2005,Steven Spielberg,1946-12-18,"Cincinnati, Ohio, U.S.",U.S.
Chris Nashawaty,Entertainment Weekly,US,The Social Network,2010,David Fincher,1962-08-28,"Denver, Colorado, U.S.",U.S.
Chris Nashawaty,Entertainment Weekly,US,The Grand Budapest Hotel,2014,Wes Anderson,1969-05-01,"Houston, Texas, U.S.",U.S.
Chris Nashawaty,Entertainment Weekly,US,Sexy Beast,2000,Jonathan Glazer,1965-03-26,"London, England",England
Chris Nashawaty,Entertainment Weekly,US,The Lobster,2015,Yorgos Lanthimos,1973-09-23,"Athens, Greece",Greece
Chris Nashawaty,Entertainment Weekly,US,Inglourious Basterds,2009,Quentin Tarantino,1963-03-27,,
Chris Nashawaty,Entertainment Weekly,US,Best in Show,2000,Christopher Guest,,,
Chris Nashawaty,Entertainment Weekly,US,Gladiator,2000,Ridley Scott,1937-11-30,"South Shields, England",England
Farran Smith Nehme,The New York Post/Film Comment,US,Yi Yi: A One and a Two,2000,Edward Yang,1947-11-06,"Shanghai, Republic of China",Republic of China
Farran Smith Nehme,The New York Post/Film Comment,US,A Separation,2011,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Farran Smith Nehme,The New York Post/Film Comment,US,25th Hour,2002,Spike Lee,1957-03-20,"Atlanta, Georgia, U.S.",U.S.
Farran Smith Nehme,The New York Post/Film Comment,US,"4 Months, 3 Weeks & 2 Days",2007,Cristian Mungiu,1968-04-27,"Iași, Romania",Romania
Farran Smith Nehme,The New York Post/Film Comment,US,WALL-E,2008,Andrew Stanton,1965-12-03,"Rockport, Massachusetts, U.S.",U.S.
Farran Smith Nehme,The New York Post/Film Comment,US,Phoenix,2014,Christian Petzold,,,
Farran Smith Nehme,The New York Post/Film Comment,US,Selma,2014,Ava DuVernay,1972-08-24,"Long Beach, California, U.S.",U.S.
Farran Smith Nehme,The New York Post/Film Comment,US,Timbuktu,2014,Abderrahmane Sissako,1961-10-13,"Kiffa, Mauritania",Mauritania
Farran Smith Nehme,The New York Post/Film Comment,US,About Elly,2009,Asghar Farhadi,1972-05-07,"Homayoon Shahr, Isfahan, Pahlavi Iran",Pahlavi Iran
Farran Smith Nehme,The New York Post/Film Comment,US,I’m Going Home,2001,Manoel de Oliveira,1908-12-11,"Porto, Kingdom of Portugal",Kingdom of Portugal
Joe Neumaier,WOR-710AM New York,US,Inside Llewyn Davis,2013,Joel and Ethan Coen,1954-11-29,,
Joe Neumaier,WOR-710AM New York,US,There Will Be Blood,2007,Paul Thomas Anderson,1970-06-26,"Los Angeles, California, U.S.",U.S.
Joe Neumaier,WOR-710AM New York,US,Inside Out,2015,Pete Docter,1968-10-09,"Bloomington, Minnesota, U.S.",U.S.
